word,category,genre,number,syllables,tonic
ciudad,sustantivo,neutro,singular,ciu dad,2
guerrero,sustantivo,neutro,singular,gue rre ro,2
hidalgo,sustantivo,neutro,singular,hi dal go,2
estado,sustantivo,neutro,singular,es ta do,2
león,sustantivo,neutro,singular,le ón,2
puebla,sustantivo,neutro,singular,pue bla,1
roo,sustantivo,neutro,singular,ro o,1
sonora,sustantivo,neutro,singular,so no ra,2
llave,sustantivo,neutro,singular,lla ve,1
acolla,sustantivo,neutro,singular,a co lla,2
acopia,sustantivo,neutro,singular,a co pia,2
acora,sustantivo,neutro,singular,a co ra,2
agua,sustantivo,neutro,singular,a gua,1
aguas,sustantivo,neutro,singular,a guas,1
aires,sustantivo,neutro,singular,ai res,1
alegre,sustantivo,neutro,singular,a le gre,2
alta,sustantivo,neutro,singular,al ta,1
alto,sustantivo,neutro,singular,al to,1
ana,sustantivo,neutro,singular,a na,1
ancón,sustantivo,neutro,singular,an cón,2
andrés,sustantivo,neutro,singular,an drés,2
aparicio,sustantivo,neutro,singular,a pa ri cio,3
apaza,sustantivo,neutro,singular,a pa za,2
arena,sustantivo,neutro,singular,a re na,2
arenal,sustantivo,neutro,singular,a re nal,3
arica,sustantivo,neutro,singular,a ri ca,2
arma,sustantivo,neutro,singular,ar ma,1
asís,sustantivo,neutro,singular,a sís,2
ate,sustantivo,neutro,singular,a te,1
azul,sustantivo,neutro,singular,a zul,2
baja,sustantivo,neutro,singular,ba ja,1
bajo,sustantivo,neutro,singular,ba jo,1
baños,sustantivo,neutro,singular,ba ños,1
bellido,sustantivo,neutro,singular,be lli do,2
bigote,sustantivo,neutro,singular,bi go te,2
blanca,sustantivo,neutro,singular,blan ca,1
brea,sustantivo,neutro,singular,bre a,1
breña,sustantivo,neutro,singular,bre ña,1
buenaventura,sustantivo,neutro,singular,bue na ven tu ra,4
cachi,sustantivo,neutro,singular,ca chi,1
calca,sustantivo,neutro,singular,cal ca,1
calzada,sustantivo,neutro,singular,cal za da,2
cangallo,sustantivo,neutro,singular,can ga llo,2
canta,sustantivo,neutro,singular,can ta,1
cao,sustantivo,neutro,singular,ca o,1
capazo,sustantivo,neutro,singular,ca pa zo,2
capelo,sustantivo,neutro,singular,ca pe lo,2
carlos,sustantivo,neutro,singular,car los,1
casa,sustantivo,neutro,singular,ca sa,1
casanova,sustantivo,neutro,singular,ca sa no va,3
casca,sustantivo,neutro,singular,cas ca,1
cascas,sustantivo,neutro,singular,cas cas,1
castañeda,sustantivo,neutro,singular,cas ta ñe da,3
castillo,sustantivo,neutro,singular,cas ti llo,2
cauri,sustantivo,neutro,singular,cau ri,1
